Question,Option A,Option B,Option C,Option D,Correct Answer
A 25-year-old patient presents with abnormal skin pigmentation. The cells responsible for skin color are located in which layer?,Stratum corneum,Stratum basale,Stratum spinosum,Papillary dermis,B
During dissection a medical student identifies a muscle with parallel fibers arranged in a narrow belt-like form. This is classified as:,Fusiform muscle,Strap muscle,Quadrilateral muscle,Pennate muscle,B
A patient with bone fracture shows delayed healing. Which bone cells are responsible for new bone formation?,Osteoclasts,Osteocytes,Osteoblasts,Chondrocytes,C
A 40-year-old presents with joint pain. The articular surfaces are covered by which type of cartilage?,Fibrocartilage,Elastic cartilage,Hyaline cartilage,All types,C
The appendicular skeleton includes all EXCEPT:,Clavicle,Scapula,Sternum,Humerus,C
A patient with swallowing difficulty has a tumor in the part of digestive system that has hard and soft palate. This is the:,Esophagus,Pharynx,Mouth,Stomach,C
The liver surface that is related to the diaphragm is:,Anterior surface,Superior surface,Posterior surface,Inferior surface,B
A patient with respiratory infection has inflammation in the part of respiratory system that contains vocal cords. This is the:,Nasopharynx,Oropharynx,Larynx,Trachea,C
The brain part that connects cerebrum with spinal cord is:,Cerebellum,Brainstem,Diencephalon,Corpus callosum,B
A patient with edema has impaired lymphatic drainage. The largest lymphatic vessel is:,Right lymphatic duct,Thoracic duct,Lymph trunk,Afferent vessel,B
During embryonic development the process where the trophoblast further develops occurs in which week?,First week,Second week,Third week,Fourth week,C
Which term describes movement toward the midline of the body?,Abduction,Adduction,Flexion,Extension,B
The skin layer consisting of dense irregular collagen fibers is:,Epidermis,Papillary dermis,Reticular dermis,Hypodermis,C
Muscles characterized by spindle-shaped cells with involuntary action are:,Skeletal muscles,Cardiac muscles,Smooth muscles,All muscle types,C
The connective tissue that surrounds muscle fascicles is:,Endomysium,Perimysium,Epimysium,Deep fascia,B
Muscles where fascicles attach obliquely to a central tendon are:,Parallel muscles,Pennate muscles,Convergent muscles,Circular muscles,B
Bones that develop through intracartilaginous ossification include:,Skull vault,Clavicle,Femur,All bones,C
The temporary cartilage in long bones that allows growth is:,Articular cartilage,Epiphyseal plate,Costal cartilage,Fibrocartilage,B
Joints that allow minimal gliding movement are:,Hinge joints,Plane joints,Pivot joints,Ball and socket joints,B
The facial bone that is movable is:,Maxilla,Zygomatic,Mandible,Nasal bone,C
The part of vertebral column with 5 fused vertebrae is:,Cervical region,Thoracic region,Lumbar region,Sacral region,D
Ribs that do not articulate with sternum are called:,True ribs,False ribs,Floating ribs,All ribs articulate,C
The bone in the thigh that is the longest in body is:,Tibia,Fibula,Femur,Patella,C
The part of alimentary canal that has taeniae coli is:,Stomach,Small intestine,Large intestine,All parts,C
The salivary gland that lies beneath the tongue is:,Parotid gland,Submandibular gland,Sublingual gland,All glands,C
The stomach surface that contacts other abdominal organs is:,Anterior surface,Posterior surface,Both surfaces,Neither surface,B
The part of small intestine with Peyer's patches is:,Duodenum,Jejunum,Ileum,All parts,C
The liver lobe that is related to inferior vena cava is:,Right lobe,Left lobe,Caudate lobe,Quadrate lobe,C
