Supination,palm of the hand faces forward,palm of the hand faces backward,palm of the hand faces medial,palm of the hand faces lateral,A
Loose mixture of adipose and loose areolar tissues,Skin,Superficial fascia,Deep fascia,aponeurosis,B
Example of irregular bone is,humerus,scapula,vertebra,tarsal bone,C
These are membranous organelle that contains oxidative and catalases enzymes,RER,centrioles,Peroxisomes,Ribosomes,C
The 5 year old boy has presented with abnormal size of abdomen . After medical examination and ultrasound investigation revealed hepatomegaly. Biopsy from liver showed increase glycogen deposition in hepatocytes. The organelle affected responsible for this condition is ......,RER,Lysosomes,Ribosomes,centrioles,B
Muscular tissue supplied by somatic nervous system,skeletal,cardiac,smooth,non-striated,A
Resolving power of light microscope is,0.2 µm,0.2 nm,0.2 m,0.2 mm,A
By electron microscope; cell membrane appears as,trilaminar structure,bilaminar structure,basophilic structure,acidophilic structure,A
Elbow joint is,uniaxial joint,biaxial joint,multiaxial joint,fibrous joint,A
Form proteins for local use in the cell,Attached ribosomes,SER,Free ribosomes,Centrioles,C
Glycogen can be stained by,Silver,PAS,Sudan III,Sudan black,B
Localized thickening of deep fascia around joints,Tendon,Aponeurosis,Bursa,retinaculum,D
provides stability to the cell membrane,Cholesterol,Phospholipid,Integral protein,Charbohydrates,A
Para nasal sinuses are,flat bone,pneumatic bone,irregular bone,flat bone,B
Regarding to muscular tissue,Contractible,Inelastic,rigid tissue,denervated tissue,A
is the ability of microscope to magnify objects,Resolving power,Magnification power,Staining power,Electron power,B
Cristae could be seen in,Mitochondria,Ribosomes,RER,SER,A
Shoulder joint is,uniaxial joint,biaxial joint,multiaxial joint,fibrous joint,C
Promation,palm of the hand faces forward,palm of the hand faces backward,palm of the hand faces medial,palm of the hand faces lateral,B
The newborn infant has born presented with yellowish color of his skin . Doctor told his parents not worried about this condition and will resolve with time . The organelle involved in this condition is ......,RER,SER,Mitochondria,Ribosomes,B
Plane which divides the body into two equal right & left halves,Coronal plane,Sagittal plane,Horizontal plane,Transverse plane,B
Movement of a part of the body towards the median plane called,Flexion,Protraction,Extension,Adduction,D
They supply the bones near to the joint ends,Nutrient arteries,Periosteal arteries,Articular arteries,Long arteries,C
is an example of spongy bone,end of long bones,shaft of long bones,end and shaft of long bones,bone marrow,A
Type of suture is,synovial joint,1ry cartilaginous joint,2ry cartilaginous joint,fibrous joint,D
Epiphysial cartilage plate is,1ry cartilaginous joint,2ry cartilaginous joint,fibrous joint,synovial joint,A
Biceps muscle is,Convergent type,parallel type,Circular type,Segmented type,B
Action of Triceps in elbow flexion is,agonist,antagonist,fixator,prime mover,B
Oral cavity is separated from the nose by,Nasopharynx,Lips,Oropharynx,Hard and soft palate,D
