Question,Option1,Option2,Option3,Option4,Correct Answer
intervertebral disc is formed of,Hyaline cartilage,Yellow elastic cartilage,White fibro-cartilage,Compact bone,C
Which cell is responsible for appositional growth of cartilage,Chondroblast,Chondrocyte,Osteoblast,Osteocyte,A
Which cell present in Howship's lacuna,Osteogenic cell,Osteoblast,Osteocyte,Osteoclast,D
What is compact bone,Dense bone,Immature bone,Cancellous bone,Spongy bone,A
Which of the following bones is (are) formed by intramembranous ossification,the metatarsals,the femurs,the ribs,the flat bones of the skull,D
Site of spermatogenesis is,seminiferous tubules of the testis,Scrotum,Vas deferens,Rete testis,A
Middle piece of the mature sperm is made by,mitochondria,Nucleus,Centriole,Flagellum,A
ovarian cycle is under control of ...... hormones,Estrogen,Progesterone,Oxytocin,LH&FSH,D
If pregnancy occurs corpus luteum persists till,the 1st month,the 4th month,the 2nd month,the 3rd month,B
It is a solid mass of cells called blastomeres it is formed of 1632 cells,Zygot,morula,blastocyst,decidua,B
Is a process of repeated mitotic cell divisions of the fertilized ovum to produce cell cluster of the same size of the original zygote,implantation,folding,cleavage,gastrulation,C
Implantation is the process of Attachment of blastocyst to the uterine wall,Ovum movement,Degeneration of ovum,Ovum fertilization,A
The amniotic cavity surrounds the whole embryo after,implantation,cleavage,folding,gastrulation,C
The amniotic cavity enlarges & obliterates the chorionic cavity by the,5th week,10th week,15th week,20th week,B
Primary ossification centers appear in long bones during,2nd month,3rd month,4th month,5th month,B
is soft un pigmented downy hairs that cover the whole fetal skin between 5- 7 months of pregnancy,coarse hair,Vernix hair,Lanugo hair,back hair,C
failure of reduction of the physiological hernia back to the abdominal cavity called,short cord,Omphalocele,true knot,Velamentous cord,B
Group of anomalies occurring together by a specific cause called,Malformations,Disruptions,Deformations,syndromes,D
Conjoined twin is incomplete separation of,Dizygotic twins,Triple twins,Monozygotic twins,None of the above,C
In monozygotic twins if division occurred at two cell stage each fetus has,its own chorion placenta and amniotic sac,separate amniotic sac but common chorion and placenta.,common chorion placenta and amniotic sac,different sex,A
The functional unit of exchange between fetus and the mother is,amnion,placenta,umbilical cord,amniotic fluid,B
Fetal part of the placenta is,chorion frondosum.,decidua basalis,Decidua capsularis,Decidua paritalis,A
when the umbilical cord attached to the chorion some distance from the placenta it is called,battedore placenta,marginal attachment,Velamentous attachement,bipartite placenta,C
is a soft tortuous structure which connects the fetus to the placenta,annnon,umbilical cord,chorion,fallopian tube,B
Long bone grows in length as a result of,Removal of calcified cartilage,Interstitial growth of cartilage tissue,Appositional deposition of bone tissue,Interstitial growth of bone tissue,B
The normal site of implantation is,The upper part of the posterior wall of the uterus near to the fundus.,The lower part of the posterior wall of the uterus near to the fundus.,The upper part of the anterior wall of the uterus near to the fundus.,The lower part of the anterior wall of the uterus near to the fundus.,A
Production of human chorionic gonadotrphin hormones occurred from,epiplast,hypoblast,cytotrophoblast,syncytiotrophoblast,D
Spaces filled with maternal blood called appear within the syncytiotrophoblast with starting of the placental circulation,deciduas,lacunae,villi,epiblasts,B
is the process of formation of trilaminar germ disc,Neurulation,Gastrulation,Folding,Migration,B
Epiblast cells at the primitive node proliferate & migrate cranially between endoderm & ectoderm to form,primitive streak,primitive canal,notochord process,neuroentric canal,C
Folding of the embryo begins by the end of 3rd week & completed by,4th week,5th week,6th week,7th week,A
Bending of the trilaminar germ disc around its central axis known as,implantation,gustrulation,folding,neuralation,C
By the end of 2nd month the head becomes more rounded and large forming about,half length of the body,one third length of the body,one fourth length of the body,the same length of the body,A
The heart is formed and is beating rhythmically by the end of,1st month,2nd month,3rd month,4th month,A
Which of the following is correct about the epithelial tissue,Innervated,Highly vascularized,Has no polarity,Its cells are widely separated,A
The function of the epithelium is usually adopted to their structure. According to this statement gaseous exchange is occurred through epithelium,Stratified squamous,Transitional,Simple columnar,Simple squamous,D
Apocrine gland has the following character,The basal part of its epithelium is lost with the secretion,The apical part of its epithelium is lost with the secretion,The whole epithelial cell destructed with the secretion,The secretion is released by exocytosis,B
Waxy Secretion is released from glands of,External ear,Stomach,Testis,Ovary,A
Trachea is lined by,Pseudo-stratified columnar ciliated epithelium with goblet cells,Pseudo-stratified columnar non ciliated,Stratified columnar non ciliated,Simple columnar epithelium,A
Holocrine secretion,No change or loss of any part of cell during secretion.,Apical part removed with secretion.,Whole cell destructed with secretion.,Not found in human,C
Neuroepithelium is formed of,Sensory and basal cells only,Sensory supporting and basal cells,Sensory basal supporting and goblet cells,supporting and basal cells only,B
Our esophagus is lined with,Stratified columnar epithelium,Stratified squamous keratinized,Stratified squamous non keratinized,Stratified columnar ciliated,C
