Question,Option A,Option B,Option C,Option D,Correct Answer
A 28-year-old patient has a deep cut that extends to the reticular layer of dermis. This layer primarily contains:,Adipose tissue,Loose areolar tissue,Dense irregular collagen,Elastic fibers,C
During muscle biopsy tissue shows fascicles attaching obliquely to a central tendon from opposite sides. This muscle architecture is:,Unipennate,Bipennate,Multipennate,Circumpennate,B
A child with growth disorder has impaired function of the epiphyseal plate. This structure is composed of:,Fibrocartilage,Hyaline cartilage,Elastic cartilage,Dense connective tissue,B
A patient with joint inflammation has excess synovial fluid. This fluid is secreted by the:,Articular cartilage,Fibrous capsule,Synovial membrane,Ligaments,C
The axial skeleton component that does not articulate with any other bone is:,Mandible,Hyoid bone,Atlas,Axis,B
A patient with indigestion has problems in the most dilated part of alimentary tract. This is the:,Esophagus,Stomach,Duodenum,Jejunum,B
The liver structure that contains portal vein hepatic artery and ducts is:,Gall bladder fossa,Porta hepatis,Bare area,Falciform ligament,B
A patient with voice changes has inflammation in the part of respiratory system containing thyroid cartilage. This is the:,Pharynx,Larynx,Trachea,Bronchi,B
The brain part that contains thalamus and hypothalamus is:,Cerebrum,Cerebellum,Diencephalon,Brainstem,C
A patient with immune deficiency has impaired function of the largest lymphoid organ. This is the:,Thymus,Spleen,Lymph nodes,Tonsils,B
Movement that increases angle between two structures is:,Flexion,Extension,Abduction,Adduction,B
The skin type found on palms and soles is characterized by:,Thin epidermis with hair follicles,Thick epidermis without hair follicles,Thin epidermis with sebaceous glands,Thick epidermis with sweat glands,B
Muscles that are controlled by somatic nerves are:,Skeletal muscles only,Cardiac muscles only,Smooth muscles only,All muscle types,A
The connective tissue that surrounds individual muscle fibers is:,Epimysium,Perimysium,Endomysium,Deep fascia,C
A muscle with triangular shape and wide origin is classified as:,Parallel muscle,Pennate muscle,Convergent muscle,Circular muscle,C
Bones that contain red bone marrow in adults include:,Shaft of long bones,Ends of long bones,All bones equally,No bones in adults,B
The type of ossification where bone forms directly in membrane is:,Endochondral ossification,Intramembranous ossification,Both types,Neither type,B
Joints that allow movement around two axes are:,Uni-axial joints,Bi-axial joints,Multi-axial joints,All synovial joints,B
The skull bone that forms the base of cranium is:,Frontal bone,Parietal bone,Occipital bone,Temporal bone,C
The vertebrae that articulate with ribs are:,Cervical vertebrae,Thoracic vertebrae,Lumbar vertebrae,All vertebrae,B
The part of sternum that is broadest and uppermost is:,Manubrium,Body,Xiphoid process,All parts equally,A
The bone that forms the medial aspect of forearm is:,Radius,Ulna,Both equally,Neither bone,B
The part of large intestine with vermiform appendix is:,Cecum,Ascending colon,Transverse colon,Descending colon,A
The salivary gland located below and in front of ear is:,Submandibular gland,Sublingual gland,Parotid gland,All glands,C
The stomach opening that communicates with esophagus is:,Pyloric orifice,Cardiac orifice,Both orifices,Neither orifice,B
The part of small intestine that forms proximal 2/5 is:,Duodenum,Jejunum,Ileum,All parts equally,B
The liver lobe that is related to stomach is:,Right lobe,Left lobe,Caudate lobe,Quadrate lobe,B
The pancreas part that lies anterior to abdominal aorta is:,Head,Neck,Body,Tail,C
The nasal region that is lined by respiratory epithelium is:,Nasal vestibule only,Respiratory part only,Olfactory part only,All parts,B
The larynx cartilage attached to vocal cords is:,Thyroid cartilage,Cricoid cartilage,Epiglottic cartilage,Arytenoid cartilage,D
The right lung characteristic due to liver position is:,Larger and shorter,Smaller and longer,Thinner and taller,Same as left lung,A
The lung surface related to chest wall is:,Medial surface,Costal surface,Diaphragmatic surface,All surfaces,B
The collection of nerve cells in CNS is called:,Ganglion,Nucleus,Both terms,Neither term,B
The brain part that gives rise to oculomotor nerve is:,Midbrain,Pons,Medulla oblongata,Cerebellum,A
Cranial nerves attached to pons include:,Trigeminal and abducens,Facial and vestibulocochlear,Both A and B,Glossopharyngeal and vagus,C
Spinal nerves that form cervical plexus are:,Anterior rami,Posterior rami,Both rami,Roots only,A
The heart chamber that has trabeculae carneae is:,Right atrium only,Right ventricle only,Both ventricles,All chambers,C
The valve between left atrium and ventricle is:,Tricuspid valve,Mitral valve,Aortic valve,Pulmonary valve,B
Blood vessels that are thick-walled and elastic are:,Arteries,Veins,Capillaries,All vessels,A
The lymphoid tissue in small intestine is called:,Tonsils,Peyer's patches,Thymus,Spleen,B
The anatomical study of borders of organs on skin surface is called:,Radiographic anatomy,Surface anatomy,Applied anatomy,Developmental anatomy,B
Movement of sole inward is:,Eversion,Inversion,Dorsiflexion,Plantarflexion,B
The body cavity that houses spinal cord is:,Cranial cavity,Vertebral canal,Thoracic cavity,Abdominal cavity,B
Skin appendages that open into hair follicles are:,Sweat glands,Sebaceous glands,Both,Neither,B
Muscle attachment by cord-like collagenous fibers is:,Fleshy attachment,Tendon,Aponeurosis,All types,B
Bone function that includes hematopoiesis is:,Protection,Movement,Support,Blood cell formation,D
Cartilage that is glossy and translucent is:,Hyaline cartilage,Elastic cartilage,Fibrocartilage,All types,A
Joints that are immobile and temporary are:,Fibrous joints,Primary cartilaginous joints,Secondary cartilaginous joints,Synovial joints,B
The bone that forms upper jaw is:,Mandible,Maxilla,Zygomatic,Nasal bone,B
The vertebrae with largest bodies are:,Cervical vertebrae,Thoracic vertebrae,Lumbar vertebrae,All equal,C
The bone that forms lateral malleolus is:,Tibia,Fibula,Both,Neither,B
The part of stomach that has lesser curvature is:,Right border,Left border,Superior border,Inferior border,A
The duct that carries bile from liver is:,Cystic duct,Common hepatic duct,Common bile duct,All options,B
The part of respiratory system with alveoli is:,Trachea,Bronchi,Lungs,All parts,C
The lung with horizontal fissure is:,Right lung,Left lung,Both lungs,Neither lung,A
The brain part concerned with equilibrium is:,Cerebrum,Cerebellum,Brainstem,Diencephalon,B
The heart chamber that receives deoxygenated blood is:,Right atrium,Right ventricle,Both A and B,Left atrium,C
The lymphatic vessel that drains most of body is:,Right lymphatic duct,Thoracic duct,Both equally,Neither vessel,B
A 55-year-old patient has difficulty with fine motor coordination. This function is primarily controlled by the:,Frontal lobe,Parietal lobe,Cerebellum,Brainstem,C
Which term describes movement away from point of attachment?,Proximal,Distal,Medial,Lateral,B
The skin layer that acts as heat insulator is:,Epidermis,Dermis,Superficial fascia,Deep fascia,C
Muscles that have single central nuclei are:,Skeletal muscles,Cardiac muscles,Smooth muscles,All muscle types,B
The cytoplasm of muscle fiber is called:,Sarcoplasm,Sarcolemma,Sarcomere,Myofibril,A
Muscles that prevent unwanted movement are called:,Prime movers,Antagonists,Synergists,Fixators,C
Bones that protect vital organs like brain are:,Long bones,Flat bones,Irregular bones,All bone types,B
Cartilage that is devoid of blood vessels includes:,Hyaline cartilage only,Elastic cartilage only,Fibrocartilage only,All cartilage types,D
